Postcode,Borough,Neigbourhood,Latitude,Longitude
SE27,South Eastern,West Norwood,51.427905,-0.100249
SE28,South Eastern,Thamesmead,51.505758,0.110059
SW1,South Western,South Western Head district,51.507351,-0.127758
SW2,South Western,Brixton,51.461279,-0.115615
SW3,South Western,Chelsea,51.486943,-0.170037
SW4,South Western,Clapham,51.463698,-0.136305
SW5,South Western,Earls Court,51.490331,-0.195842
SW6,South Western,Fulham,51.477343,-0.201682
SW7,South Western,South Kensington,51.495329,-0.178991
SW8,South Western,South Lambeth,51.485381,-0.123321
SW9,South Western,Stockwell,51.471593,-0.121664
SW10,South Western,West Brompton,51.483494,-0.196802
SW11,Battersea,Battersea Head district,51.46761,-0.158348
SW12,Battersea,Balham,51.443989,-0.14941
SW13,Battersea,Barnes,51.475294,-0.239205
SW14,Battersea,Mortlake,51.468736,-0.262742
SW15,Battersea,Putney,51.459643,-0.214126
SW16,Battersea,Streatham,51.42826,-0.131734
SW17,Battersea,Tooting,51.428215,-0.166925
SW18,Battersea,Wandsworth,51.457072,-0.181782
SW19,Battersea,Wimbledon,51.418339,-0.220629
SW20,Battersea,West Wimbledon,51.412317,-0.242284
W1,Western,Western Head district,51.51369,-0.141487
W2,Paddington,Paddington Head district,51.509628,-0.170354
W3,Paddington,Acton,51.508372,-0.27444
W4,Paddington,Chiswick,51.487627,-0.267173
W5,Paddington,Ealing,51.525037,-0.341396
W6,Paddington,Hammersmith,51.491187,-0.223731
W7,Paddington,Hanwell,51.506637,-0.338323
W8,Paddington,Kensington,51.50101,-0.193279
W9,Paddington,Maida Hill,51.524363,-0.201733
W10,Paddington,North Kensington,51.52467,-0.213888
W11,Paddington,Notting Hill,51.516013,-0.209015
W12,Paddington,Shepherds Bush,51.509777,-0.234566
W13,Paddington,West Ealing,51.51141,-0.318016
W14,Paddington,West Kensington,51.489862,-0.207001
WC1,Western Central,Head district,51.507351,-0.127758
WC2,Western Central,Strand,51.510583,-0.126768
